"world rank","city","country","city           population","metro           population","mayor"
"131","guayaquil","ecuador","2196000","2686000","jaime nebot"
"187","quito","ecuador","1648000","1842000","augusto barrera"
"21","cairo","egypt","7764000","15546000","abdul azim wazir"
"52","alexandria","egypt","4110000","4350000","adel labib"
"127","giza","egypt","2225000","2600000","n/k"
"412","subra al-haymah","egypt","998000","","n/k"
"n/r","san salvador","el salvador","520000","1580000","norman quijano"
"n/r","asmara","eritrea","392000","881000","n/k"
"n/r","tallinn","estonia","407000","","edgar savisaar"
"70","addis ababa","ethiopia","3385000","4568000","kuma demeksa"
"577","helsinki","finland","583000","1311000","jussi pajunen"
"133","paris","france","2113000","11769000","bertrand delano&euml;"
"464","marseille","france","852000","1605000","jean-claude gaudin"
"n/r","lyon","france","472000","1665000","g&eacute;rard collomb"
"n/r","toulouse","france","438000","851000","pierre cohen"
"n/r","nice","france","347000","943000","christian estrosi"
"n/r","nantes","france","283000","804000","jean-marc ayrault"
"n/r","strasbourg","france","273000","639000","roland rie"
"n/r","montpellier","france","252000","","h&eacute;l&egrave;ne mandroux-colas"
"n/r","bordeaux","france","250000","1010000","alain jupp&eacute;"
"n/r","lille","france","226000","1143000","martine aubry"
"n/r","rennes","france","206000","","daniel delaveau"
"221","tbilisi","georgia","1490000","1550000","giorgi ugulava"
"68","berlin","germany","3432000","3943000","klaus wowereit"
"166","hamburg","germany","1775000","3260000","olaf scholz"
"271","munich","germany","1367000","2600000","christian ude"
"414","cologne","germany","995000","11297000","j&uuml;rgen roters"
"557","frankfurt","germany","665000","2717000","petra roth"
"570","stuttgart","germany","600000","2330000","wolfgang schuster"
"573","dortmund","germany","584000","","ullrich sierau"
"579","essen","germany","580000","","reinhard pa&szlig;"
"590","bremen","germany","547000","1009000","jens b&ouml;hrnsen"
"n/r","hannover","germany","520000","1130000","stephan weil"
"n/r","leipzig","germany","515000","1417000","burkhard jung"
"n/r","dresden","germany","512000","1030000","helma orosz"
"n/r","nuremberg","germany","504000","1008000","ulrich maly"
"n/r","duisburg","germany","494000","","adolf sauerland"
"n/r","wuppertal","germany","353000","","peter jung"
"n/r","bielefeld","germany","324000","1420000","peter clausen"
"n/r","mannheim","germany","311000","1456000","peter kurz"
"n/r","karlsruhe","germany","291000","","heinz fenrich"
"n/r","wiesbaden","germany","277000","","helmut m&uuml;ller"
"n/r","m&uuml;nster","germany","274000","","markus lewe"
"n/r","augsburg","germany","263000","","kurt gribl"
"n/r","gelsenkirchen","germany","262000","","frank baranowski"
"n/r","aachen","germany","259000","1240000","marcel philipp"
"n/r","braunschweig","germany","246000","","gert hoffmann"
"n/r","chemnitz","germany","243000","1082000","barbara ludwig"
"n/r","krefeld","germany","236000","","gregor kathstede"
"n/r","halle","germany","233000","","dagmar szabados"
"n/r","magdeburg","germany","230000","","lutz tr&uuml;mper"
"n/r","freiburg","germany","220000","","dieter salomon"
"n/r","oberhausen","germany","216000","","klaus wehling"
