"year","game","genre","platform(s)","developer(s)"
"2010","red dead redemption","{open world|third-person|shooter}","{playstation 3|xbox 360}","rockstar san diego"
"2009","uncharted 2: among thieves","{action-adventure|third-person shooter}","playstation 3","naughty dog"
"2008","grand theft auto iv","{open world|action}","{windows|playstation 3|xbox 360}","rockstar north"
"2007","bioshock","shooter","{windows|xbox 360|mac os x|playstation 3}","2k boston/2k australia"
"2006","the legend of zelda: twilight princess","action-adventure","{wii|nintendo gamecube}","nintendo"
"2005","resident evil 4","{survival horror|third-person|shooter}","{gamecube|playstation 2|windows|wii}","capcom"
"2004","halo 2","shooter","{xbox|windows}","bungie"
"2003","prince of persia: sands of time","action-adventure","{xbox|gamecube|playstation 2|windows}","ubisoft montreal"
"2002","metroid prime","action-adventure","nintendo gamecube","nintendo"
"2001","halo combat evolved","shooter","{xbox|windows}","bungie"
"2000","tony hawk's pro skater 2","sports","{pc|nintendo 64|playstation|dreamcast}","activision"
"1999","soul calibur","fighting","sega dreamcast","namco"
"1998","the legend of zelda: ocarina of time","action-adventure","nintendo 64","nintendo"
"1997","goldeneye 007","shooter","nintendo 64","rare"
"1996","super mario 64","action-platformer","nintendo 64","nintendo"
"1995","twisted metal","action-driving game","playstation","singletrac"
"1994","donkey kong country","action-platformer","super nintendo","rare"
"1993","samurai shodown","fighting","neo-geo mvs","snk"
"1992","street fighter ii","fighting","super nintendo","capcom"
"1991","sonic the hedgehog","action-platformer","sega genesis","sega"
"1990","strider","action-adventure","sega genesis","capcom"
"1989","ghouls 'n ghosts","action-adventure","sega genesis","capcom"
