"name","date","previous names","capital","government","languages"
"afghanistan","1747","&nbsp;","kabul","no effective government","farsipashtouzbek"
"bahrain","1971","&nbsp;","manama","absolute monarchy","arabic"
"bangladesh","1971","east pakistan","dhaka","republic","bengaliurdu"
"bhutan","&nbsp;","&nbsp;","thimphu","theocratic monarchy","jonkha"
"british indian ocean territory","&nbsp;","&nbsp;","diego garcia","colony (uk)","&nbsp;"
"brunei","c650","&nbsp;","bandar seri begawan","absolute monarchy","malay"
"burma (myanmar)","1948","&nbsp;","rangoon","military dictatorship","burmesekarenshan"
"cambodia","c800","kampuchea","phnom penh","republic","khmerfrenchvietnamese"
"china","c1500bc","carthay","beijing","one party state","mandarincantonesefukienwutibetanuigur"
"east timor","2002","&nbsp;","dili","republic","portuguese"
"india","c2500bc1948","moghul empire","new delhi","federal republic","hindiurdupunjabikashmirigujaratibengaliassameseoriyamarathikannadatelugutamilmalayalamenglishmany others"
"indonesia","c400","east indes","jakarta","republic","indonesianjavanesesundanesemadureseminagkabauachinesebatakbuginesemany others"
"iran","c6000bc","persia","tehran","theocratic republic","farsibaluchikurdishazeriarmenian"
"iraq","1922","mesopotamiababyloniaassyria","baghdad","no effective government","arabickurdish"
"israel","c800bc1948","palestineottoman empirejudea","tel aviv","republic","hebrewarabicenglishrussian"
"japan","c600bc","&nbsp;","tokyo","constitutional monarchy","japaneseainu"
"jordan","1922","transjordanottoman empiremoab","amman","monarchy","arabic"
"kazakhstan","1991","&nbsp;","astana","one party state","kazakh"
"kuwait","1922","ottoman empirearabia","kuwait city","absolute monarchy","arabic"
"kyrgyzstan","1991","&nbsp;","bishtek","one party state","kirgizuzbek"
"laos","1353","&nbsp;","vientiane","one party state","lao"
"lebanon","1920","ottoman empirephoenicia","beirut","one party state","arabicfrencharmenian"
"malaysia","1957","malaya","kuala lumpur","federal monarchy","malay"
"maldives","1965","&nbsp;","male","&nbsp;","maldivian"
"mongolia","1203","&nbsp;","ulaan baatar","republic","mongoliankazakh"
"nepal","c1770","gorkha kingdom","kathmandu","monarchy","nepalesebiharinewaritibetanmurmi"
"north korea","c2330bc1945","korea","pyongyang","one party state","korean"
"oman","1970","muscat and omanarabia","muscat","absolute monarchy","arabic"
"pakistan","1948","west pakistan","islamabad","republic","urdukashmiripashtobaluchisindhi"
"papua new guinea","1949","&nbsp;","port moresby","republic","pidgin englishmany others"
"philippines","1521","&nbsp;","manila","republic","tagalogenglishcebuanohiligaynonsamaranilocanomany others"
"qatar","1971","arabia","doha","monarchy","arabic"
"saudi arabia","c1750","ottoman empirehejazarabia","riyadh","theocratic monarchy","arabic"
"south korea","c2300bc1945","korea","seoul","republic","korean"
"singapore","1965","malaya","singapore","republic","mandarinmalaytamilenglish"
"sri lanka","1948","ceylon","colombo","republic","sinhalesetamil"
"syria","c2500bc1920","united arab republic","damascus","one party state","arabickurdisharmenian"
"taiwan","1945","formosa","taipei","&nbsp;","mandarin"
"tajikistan","1991","&nbsp;","dushanbe","one party state","tadzhikkyrgyz"
"thailand","c1200","siam","bangkok","monarchy","thaimandarinmalaykhmer"
"turkmenistan","1991","&nbsp;","ashgabat","one party state","turkmen"
"united arab emirates","1971","trucial states","abu dhabi","federal monarchy","arabic"
"uzbekistan","c13001991","&nbsp;","tashkent","one party state","uzbektajik"
"vietnam","19451975","north vietnamsouth vietnam","hanoi","one party state","vietnamese"
"yemen","1918","adennorth yemensouth yemen","sanaa","one party state","arabic"
