"industry","company/organization","video uses/ type of video"
"diversified industrials","3m co.","solutions videos demo videos"
"aluminum","alcoa inc.","plant expansion news events awards"
"consumer finance","american express co.","-"
"full line insurance","american international group inc.","-"
"telecoms","at&amp;t inc.","new products video share"
"institutional and retail banking","bank of america","new products commercials"
"aerospace &amp; defense","boeing co.","plane virtual tours first flights carrier takeoffs and landings"
"commercial vehicles &amp; trucks","caterpillar inc.","product commercials"
"oil and gas","chevron corp.","technology overview corporate news"
"banks","citigroup inc.","community videos"
"beverages","coca-cola co.","product commercials branding"
"commodity chemicals","e.i. dupont de nemours &amp; co.","product videos"
"integrated oil &amp; gas","exxon mobil corp.","math and science initiative"
"diversified industrials","general electric co.","news desalination project jet engine composites cleaner coal etc."
"automobiles","general motors corp.","president's message car videos"
"diversified computer systems","hewlett-packard co.","success stories innovation recycling cartridges marketing a small business hp uncut enterprise tv"
"home improvement retailers","home depot inc.","homedepot.com/know-how homedepot.com tv instructional videos kitchen project flooring project how-tos product demos news volunteer projects community"
"semiconductors","intel corp.","commercials news chip chat behind the scenes breakthroughs"
"computer services","international business machines corp.","videos in english french german italian and spanish video surveillance crime and video troubleshooting"
"pharmaceuticals","johnson &amp;  johnson","company videos innovation videos advertising videos"
"banks","jpmorgan chase &amp; co.","financial services online banking videos video tours"
"restaurants &amp; bars","mcdonald's corp.","happy meal movie trailers"
"pharmaceuticals","merck &amp;  co. inc.","merck manual public health challenges"
"software","microsoft corp.","robotics studio tour video tutorials business solutions"
"pharmaceuticals","pfizer inc.","charlie rose science series video archive multimedia library behind login video webcast"
"non-durable household products","procter &amp;  gamble co.","product videos fixodent.com sustainability special olympics community diversity"
"aerospace heating/cooling elevators","united technologies corp.","shareholder reports (link broken)"
"telecoms","verizon communications inc.","video clips for phones vcast mobile tv"
"broadline retailers","wal-mart stores inc.","associates&rsquo; videos sustainability video center"
"broadcasting &amp; entertainment","walt disney co.","entertainment tv shows movie trailers"
