"fans'rank","title","year","director(s)","overallrank"
"111","m","1931","fritz lang","75"
"223","m*a*s*h","1970","robert altman","128"
"355","the magnificent ambersons","1942","orson welles","201"
"346","the magnificent seven","1960","john sturges","318"
"79","magnolia","1999","paul thomas anderson","202"
"368","malcolm x","1992","spike lee","582"
"57","the maltese falcon","1941","john huston","44"
"305","the man who shot liberty valance","1962","john ford","288"
"92","the manchurian candidate","1962","john frankenheimer","124"
"109","manhattan","1979","woody allen","135"
"343","mary poppins","1964","robert stevenson","252"
"34","the matrix","1999","andy and larry wachowski","42"
"509","mccabe & mrs. miller","1971","robert altman","290"
"176","mean streets","1973","martin scorsese","190"
"59","memento","2000","christopher nolan","136"
"429","men in black","1997","barry sonnenfeld","562"
"126","metropolis","1927","fritz lang","53"
"99","midnight cowboy","1969","john schlesinger","142"
"225","miller's crossing","1990","joel coen","460"
"297","minority report","2002","steven spielberg","796"
"485","the mirror","1975","andrei tarkovsky","887"
"513","misery","1990","rob reiner","1202"
"131","modern times","1936","charles chaplin","108"
"440","monsters inc.","2001","pete docter","607"
"62","monty python and the holy grail","1975","terry gilliam and terry jones","133"
"177","moulin rouge!","2001","baz luhrmann","219"
"122","mr. smith goes to washington","1939","frank capra","156"
"123","mulholland dr.","2001","david lynch","310"
"507","mutiny on the bounty","1935","frank lloyd","447"
"279","my fair lady","1964","george cukor","164"
"384","mystic river","2003","clint eastwood","1511"
"247","nashville","1975","robert altman","86"
"261","natural born killers","1994","oliver stone","759"
"481","the natural","1984","barry levinson","908"
"117","network","1976","sidney lumet","221"
"364","a night at the opera","1935","sam wood","253"
"164","the night of the hunter","1955","charles laughton","61"
"229","night of the living dead","1968","george a. romero","139"
"314","the nightmare before christmas","1993","henry selick","419"
"391","nights of cabiria","1957","federico fellini","440"
"31","north by northwest","1959","alfred hitchcock","31"
"219","nosferatu","1922","f.w. murnau","105"
"168","notorious","1946","alfred hitchcock","104"
"232","o brother where art thou?","2000","joel coen","776"
"283","office space","1999","mike judge","774"
"51","on the waterfront","1954","elia kazan","40"
"159","once upon a time in america","1984","sergio leone","207"
"86","once upon a time in the west","1968","sergio leone","107"
"18","one flew over the cuckoo's nest","1975","milos forman","35"
"399","ordinary people","1980","robert redford","481"
"496","the others","2001","alejandro amen�bar","803"
"463","out of the past","1947","jacques tourneur","242"
"448","the outlaw josey wales","1976","clint eastwood","645"
"199","the passion of joan of arc","1928","carl theodor dreyer","143"
"387","pather panchali","1955","satyajit ray","159"
"114","paths of glory","1957","stanley kubrick","152"
"151","patton","1970","franklin j. schaffner","241"
"506","peeping tom","1960","michael powell","258"
"197","persona","1966","ingmar bergman","158"
"471","philadelphia","1993","jonathan demme","898"
"155","the philadelphia story","1940","george cukor","109"
"476","pi","1998","darren aronofsky","945"
"287","the pianist","2002","roman polanski","470"
"307","the piano","1993","jane campion","247"
"435","pinocchio","1940","hamilton luske and ben sharpsteen","217"
"357","pirates of the caribbean: the curse of the black pearl","2003","gore verbinski","379"
"328","planes trains & automobiles","1987","john hughes","1017"
"184","planet of the apes","1968","franklin j. schaffner","240"
"67","platoon","1986","oliver stone","122"
"289","the player","1992","robert altman","492"
"415","pleasantville","1998","gary ross","1260"
"341","predator","1987","john mctiernan","814"
"96","the princess bride","1987","rob reiner","132"
"358","princess mononoke","1997","hayao miyazaki","537"
"258","the producers","1968","mel brooks","184"
"136","the professional","1994","luc besson","282"
"14","psycho","1960","alfred hitchcock","7"
"2","pulp fiction","1994","quentin tarantino","15"
"426","punch-drunk love","2002","paul thomas anderson","1131"
"405","the quiet man","1952","john ford","307"
"502","quiz show","1994","robert redford","1012"
"24","raging bull","1980","martin scorsese","18"
"16","raiders of the lost ark","1981","steven spielberg","29"
"118","rain man","1988","barry levinson","347"
"427","raise the red lantern","1991","yimou zhang","363"
"162","raising arizona","1987","joel coen","528"
"121","ran","1985","akira kurosawa","185"
"104","rash�mon","1950","akira kurosawa","84"
"21","rear window","1954","alfred hitchcock","34"
"171","rebecca","1940","alfred hitchcock","225"
"143","rebel without a cause","1955","nicholas ray","115"
"337","red river","1948","howard hawks","234"
"475","the red shoes","1948","michael powell and emeric pressburger","204"
"436","the remains of the day","1993","james ivory","594"
"428","repulsion","1965","roman polanski","350"
"115","requiem for a dream","2000","darren aronofsky","434"
"32","reservoir dogs","1992","quentin tarantino","66"
"58","return of the jedi","1983","richard marquand","178"
"316","the right stuff","1983","philip kaufman","371"
"408","rio bravo","1959","howard hawks","279"
"392","road to perdition","2002","sam mendes","1224"
"262","the road warrior","1981","george miller","306"
"421","robocop","1987","paul verhoeven","495"
"433","the rock","1996","michael bay","1058"
"97","rocky","1976","john g. avildsen","101"
"467","the rocky horror picture show","1975","jim sharman","301"
"356","roman holiday","1953","william wyler","300"
"367","rope","1948","alfred hitchcock","1055"
"210","rosemary's baby","1968","roman polanski","193"
"266","the royal tenenbaums","2001","wes anderson","516"
"192","the rules of the game","1939","jean renoir","70"
"191","run lola run","1998","tom tykwer","494"
"238","rushmore","1998","wes anderson","286"
