"a","nom                     en anglais","endroit","capitale","heure"
"afghanistan","afghanistan","asie","kabul","+4.5"
"afrique                     du sud","south                     afrique","afrique","pretoria","+2"
"albanie","albania","europe","tirane","+1"
"alderney                     (uk) voir &icirc;les anglo-normandes","alderney","europe","&nbsp;","0"
"alg&eacute;rie","algeria","afrique","algiers","+1"
"allemagne","germany","europe","berlin","+1"
"andorre","andorra","europe","andorra                     la vella","+1"
"angleterre                     (voir royaume uni)","england","europe","london","0"
"angola","angola","afrique","luanda","+1"
"antigua                     et barbuda","antigua                     and barbuda","am&eacute;rique                     centrale","saint                     john's","-4"
"arabie                     saoudite","saudi                     arabia","moyen-orient","riyadh","+3"
"argentine","argentina","am&eacute;rique                     du sud","buenos                     aires","-3"
"arm&eacute;nie","armenia","asie","yerevan","+4"
"autriche","austria","europe","vienna","+1"
"azerba&iuml;djan","azerbaijan","asie","baku","+4"
"b","nom                     en anglais","endroit","capitale","heure"
"bahamas","bahamas","am&eacute;rique                     centrale","nassau","-5"
"bahre&iuml;n                     (bahrain)","bahrain","moyen-orient","manama","+3"
"bangladesh","bangladesh","asie","dhaka","+6"
"barbade","barbados","am&eacute;rique                     centrale","bridgetown","-4"
"b&eacute;larus","belarus","europe","minsk","+2"
"belgique","belgium","europe","bruxelles","+1"
"belize","belize","am&eacute;rique                     centrale","belmopan","-6"
"b&eacute;nin","benin","afrique","porto-novo","+1"
"bermudes","bermuda","am&eacute;rique                     du nord","hamilton","-4"
"bhoutan                     (bhutan)","bhutan","asie","thimphu","+6.5"
"birmanie                     voir myanmar","burma","asie","rangoon","+6.5"
"bolivie","bolivia","am&eacute;rique                     du sud","la                     paz et sucre","-4"
"bosnie                     et herz&eacute;govine","bosnia                     and herzegovina","europe","sarajevo","+1"
"botswana","botswana","afrique","gaborone","+2"
"br&eacute;sil","brazil","am&eacute;rique                     du sud","basilia","-3"
"brunei","brunei","asie","bandar                     seri begawan","+8"
"bulgarie","bulgaria","europe","sofia","+2"
"burkina                     faso","burkina                     faso","afrique","ouagadougou","0"
"burundi","burundi","afrique","bujumbura","+2"
"c","nom                     en anglais","endroit","capitale","heure"
"cambodge","cambodia","asie","phnom                     penh","+7"
"cameroun","cameroon","afrique","yaounde","+1"
"canada","canada","am&eacute;rique                     du nord","ottawa","-5"
"cap                     vert","cape                     verde","afrique","praia","-1"
"chili","chile","am&eacute;rique                     du sud","santiago","-4"
"chine","china","asie","beijing","+8"
"chypre","cyprus","moyen-orient","nicosia","+2"
"colombie","columbia","am&eacute;rique                     du sud","bogota","-5"
"comores","comoros                     islands","afrique","maroni","+3"
"congo","congo","afrique","brazzaville","+1"
"cor&eacute;e                     du nord","korea                     north","asie","pyongyang","+9"
"cor&eacute;e                     du sud","korea                     republic of","asie","seoul","+9"
"costa                     rica","costa                     rica","am&eacute;rique                     centrale","san                     jos&eacute;","-6"
"c&ocirc;te                     d'ivoire","c&ocirc;te                     d'ivoire","afrique","yamoussoukro","0"
"croatie","croatia","europe","zagreb","+1"
"cuba","cuba","am&eacute;rique                     centrale","havana","-5"
"d","nom                     en anglais","endroit","capitale","heure"
"danemark","denmark","europe","copenhagen","+1"
"djibouti","djibouti","afrique","djibouti","+3"
"dominique","dominica","am&eacute;rique                     centrale","roseau","-4"
"e","nom                     en anglais","endroit","capitale","heure"
"&eacute;cosse                     (voir royaume uni)","scotland","europe","&nbsp;","0"
"&eacute;gypte","egypt","afrique","cairo","+2"
"el                     salvador","el                     salvador","am&eacute;rique                     centrale","san                     salvador","-6"
"&eacute;mirats                     arabes unis","united                     arab emirates","moyen-orient","abu                     dhabi","+4"
"&eacute;quateur                     (ecuador)","ecuador","am&eacute;rique                     du sud","quito","-5"
"&eacute;rythr&eacute;e","eritrea","afrique","asmara","+3"
"espagne","spain","europe","madrid","+1"
"estonie","estonia","europe","tallinn","+2"
"&eacute;tats-unis                     d'am&eacute;rique","united                     states of america","am&eacute;rique                     du nord","washington                     dc","-5"
"&eacute;thiopie","ethiopia","afrique","addis                     abada","+3"
"f","nom                     en anglais","endroit","capitale","heure"
"finlande","finland","europe","helsinki","+2"
"france","france","europe","paris","+1"
"g","nom                     en anglais","endroit","capitale","heure"
"gabon","gabon","afrique","libreville","+1"
"gambie","gambia","afrique","banjul","0"
"g&eacute;orgie","georgia","asie","t'bilisi","+4"
"ghana","ghana","afrique","accra","0"
"gibraltar                     (uk)","gibraltar","europe","gibraltar","+1"
"gr&egrave;ce","greece","europe","athens","+2"
"grenade","grenada","am&eacute;rique                     centrale","saint                     george's","-4"
"groenland                     (dk)","greenland","am&eacute;rique                     du nord","nuuk","-3"
"guatemala","guatemala","am&eacute;rique                     centrale","guatemala","-6"
"guernesey                     (uk) voir &icirc;les anglo-normandes","guernsey","europe","port                     saint peter","0"
"guin&eacute;e","guinea","afrique","conakry","0"
"guin&eacute;e-bissau","guinea-bissau","afrique","bissau","0"
"guin&eacute;e                     &eacute;quatoriale","equatorial                     guinea","afrique","malabo","+1"
"guyane","guyana","am&eacute;rique                     du sud","georgetown","-4"
"guyane                     fran&ccedil;aise (fr)","french                     guiana","am&eacute;rique                     du sud","cayenne","-3"
"h","nom                     en anglais","endroit","capitale","heure"
"ha&iuml;ti","haiti","am&eacute;rique                     centrale","port-au-prince","-5"
"herm                     (uk) (voir &icirc;les anglo-normandes)","herm","europe","&nbsp;","0"
"honduras","honduras","am&eacute;rique                     centrale","tegucigalpa","-6"
"hong                     kong (uk)","hong                     kong","asie","victoria","+8"
"hongrie","hungary","europe","budapest","+1"
"i","nom                     en anglais","endroit","capitale","heure"
"&icirc;le                     de la r&eacute;union (fr)","r&eacute;union                     island","afrique","saint-denis","&nbsp;"
"&icirc;le                     de p&acirc;ques (chili)","easter                     island","am&eacute;rique                     du sud","&nbsp;","&nbsp;"
"&icirc;les                     anglo-normandes (uk)","channel                     islands","europe","n/a","0"
"&icirc;les                     falkland (uk)","falkland                     islands","am&eacute;rique                     du sud","stanley","-4"
"&icirc;les                     marshall","marshall                     islands","oc&eacute;anie","majuro","+12"
"&icirc;les                     salomon","solomon                     islands","oc&eacute;anie","honiara","+11"
"inde","india","asie","new                     delhi","+5.5"
"indon&eacute;sie","indonesia","asie","jakarta","+7"
"irak","iraq","moyen-orient","baghdad","+3"
"iran","iran","moyen-orient","teheran","+3.5"
"irlande","ireland","europe","dublin","0"
"islande","iceland","europe","reykjavik","0"
"isra&euml;l","israel","moyen-orient","&nbsp;","+2"
"italie","italy","europe","rome","+1"
"j","nom                     en anglais","endroit","capitale","heure"
"jama&iuml;que","jamaica","am&eacute;rique                     centrale","kingston","-5"
"japon","japan","asie","tokyo&nbsp;","+9"
"jersey                     (uk) voir &icirc;les anglo - normandes","jersey","europe","st-helier","0"
"jordanie","jordan","moyen-orient","amman","+2"
"k","nom                     en anglais","endroit","capitale","heure"
"kazakhstan                     (kazakhie)","kazakhstan","asie","almaty","+6"
"kenya","kenya","afrique","nairobi","+3"
"kirghizistan                     (kirghizie)","kyrgyzstan","asie","bishkek","+6"
"kiribati","kiribati","oc&eacute;anie","tarawa","-10"
"kowe&iuml;t                     (kuwait)","kuwait","moyen-orient","kuwait","+3"
"l","nom                     en anglais","endroit","capitale","heure"
"laos","laos","asie","vientiane","+7"
"lesotho","lesotho","afrique","maseru","+2"
"lettonie","latvia","europe","riga","+2"
"liban","lebanon","moyen-orient","beirut","+2"
"lib&eacute;ria                     (liberia)","liberia","afrique","monrovia","0"
"libye","libya","afrique","tripoli","+1"
"liechtenstein","liechtenstein","europe","vaduz","+1"
"lituanie","lithuania","europe","vilnius","+2"
"luxembourg","luxembourg","europe","luxembourg","+1"
"m","nom                     en anglais","endroit","capitale","heure"
"macao                     (po)","macau","asie","macao","+8"
"mac&eacute;doine                     (ancienne yougoslavie)","macedonia                     former yugoslav republic of","europe","skopje","+2"
"madagascar","madagascar","afrique","antananarivo","+3"
"malaisie","malaysia","asie","kuala                     lumpur","+7"
"malawi","malawi","afrique","lilongwe","+2"
"maldives","maldives","asie","male","+5"
"mali","mali","afrique","bamako","0"
"malte","malta","europe","valletta","+1"
"maroc","morocco","afrique","rabat","+1"
"maurice","mauritius","afrique","port-louis","+4"
"mauritanie                     (maur&eacute;tanie)","mauritania","afrique","nouackchott","0"
"mexique","mexico","am&eacute;rique                     du nord","mexico","-6"
"micron&eacute;sie","micronesia                     federated states of","oc&eacute;anie","kolonia","+10"
"moldavie","moldova","europe","chisinau","+2"
"monaco","monaco","europe","monaco","+1"
"mongolie","mongolia","asie","ulaanbaatar","+8"
"mozambique","mozambique","afrique","maputo","+2"
"n","nom                     en anglais","endroit","capitale","heure"
"namibie","namibia","afrique","windhoek","+2"
"nauru","nauru","oc&eacute;anie","n/a","+12"
"n&eacute;pal","nepal","asie","kathmandou","+5                     2/3"
"nicaragua","nicaragua","am&eacute;rique                     centrale","managua","-6"
"niger","niger","afrique","niamey","+1"
"nigeria","nigeria","afrique","abuja","+1"
"norv&egrave;ge","norway","europe","oslo","+1"
"nouvelle                     cal&eacute;donie (fr)","new                     caledonia","oc&eacute;anie","noumea","&nbsp;"
"nouvelle                     z&eacute;lande","new                     zealand","oc&eacute;anie","wellington","+12"
"o","nom                     en anglais","endroit","capitale","heure"
"oman","oman","moyen-orient","muscat","+4"
"ouzb&eacute;kistan                     (uzbekistan)","uzbekistan","asie","tashkent","+5"
"p","nom                     en anglais","endroit","capitale","heure"
"pakistan","pakistan","asie","islamabad","+5"
"panama","panama","am&eacute;rique                     centrale","panama","-5"
"papoua                     nouvelle-guin&eacute;e","papua                     new guinea","asie","port                     moresby","+10"
"paraguay","paraguay","am&eacute;rique                     du sud","asuncion","-4"
"pays                     bas","netherlands","europe","amsterdam","+1"
"p&eacute;rou","peru","am&eacute;rique                     du sud","lima","-5"
"philippines","philippines","asie","manila","+8"
"pologne","poland","europe","warsaw","0"
"polyn&eacute;sie                     fran&ccedil;aise","french                     polynesia (fr)","oc&eacute;anie","papeete","&nbsp;"
"portugal","portugal","europe","lisbonne","0"
"q","nom                     en anglais","endroit","capitale","heure"
"qatar                     (katar)","qatar","moyen-orient","doha","+3"
"r","nom                     en anglais","endroit","capitale","heure"
"r&eacute;publique                     centrafricaine","central                     african republic","afrique","bangui","+1"
"r&eacute;publique                     dominicaine","dominican                     republic","am&eacute;rique                     centrale","santo                     domingo","-4"
"r&eacute;publique                     tch&egrave;que","czech                     republic","europe","prague","+1"
"roumanie","romania","europe","bucharest","+2"
"royaume-uni","united                     kingdom","europe","london","0"
"ruanda                     (rouanda rwanda)","rwanda","afrique","kigali","+2"
"russie","russia","asie","moscow","+3"
"s","nom                     en anglais","endroit","capitale","heure"
"sahara                     occidental","western                     sahara","afrique","n/a","0"
"saint                     kitts et nevis","saint                     kits and nevis","am&eacute;rique                     centrale","basseterre","-4"
"saint-pierre                     et miquelon (fr)","saint-pierre                     and miquelon","am&eacute;rique                     du nord","saint-pierre","-3"
"saint                     vincent et les grenadines","saint                     vincent and the grenadines","am&eacute;rique                     centrale","kingstown","-4"
"sainte-lucie","saint                     lucia","am&eacute;rique                     centrale","castries","-4"
"samoa                     occidentales","western                     samoa","oc&eacute;anie","apia","-11"
"san                     marino","san                     marino","europe","san                     marino","+1"
"sao                     tom&eacute; et principe","sao                     tome and principe","afrique","sao                     tome","0"
"sark                     (uk) voir &icirc;les anglo - normandes","sark","europe","&nbsp;","0"
