"rang","museum","stadt","facebook-fans"
"1","moma   the museum of modern art","new york","353230"
"2","metropolitan museum of art","new york","178838"
"3","acropolis museum","athen","159006"
"4","musée du louvre","paris","98307"
"5","tate modern","london","66289"
"6","design museum","london","62866"
"7","guggenheim museum","new york","67894"
"8","city museum","st louis","39960"
"9","the   getty museum","los angeles","36767"
"10","salvador dali museum","saint petersburg","35182"
"11","museo del prado","madrid","37000"
"12","victoria &amp; albert museum","london","31851"
"13","centre   pompidou","paris","32353"
"14","british museum","london","28408"
"15","whitney museum of american art","new york","25803"
"16","creation museum","petersburg","25981"
"17","natural history museum","london","23566"
"18","national museum of the american indian","washington d.c.","23059"
"19","american museum of natural history","new york","21904"
"20","new   museum","new york","21235"
