"code","airport name","city","state"
"anc","anchorage international airport","anchorage","ak"
"fai","fairbanks international airport","fairbanks","ak"
"jnu","juneau international airport","juneau","ak"
"bhm","birmingham international airport","birmingham","al"
"hsv","huntsville international airport","huntsville","al"
"xna","northwest arkansas regional airport","fayetteville","ar"
"lit","little rock national airport","little rock","ar"
"gcn","grand canyon national park airport","grand canyon","az"
"phx","phoenix sky harbor international airport","phoenix","az"
"tus","tucson international airport","tucson","az"
"bur","burbank bob hope airport","burbank","ca"
"fat","fresno air terminal","fresno","ca"
"lgb","long beach airport","long beach","ca"
"lax","los angeles international airport","los angeles","ca"
"oak","oakland international airport","oakland","ca"
"ont","ontario international airport","ontario","ca"
"sna","john wayne airport","orange county","ca"
"psp","palm springs international airport","palm springs","ca"
"smf","sacramento international airport","sacramento","ca"
"san","san diego international airport","san diego","ca"
"sfo","san francisco international airport","san francisco","ca"
"sjc","san jose international airport","san jose","ca"
"sba","santa barbara airport","santa barbara","ca"
"cos","colorado springs airport","colorado springs","co"
"den","denver international airport","denver","co"
"gsn","saipan international airport","saipan island","cq"
"bdl","bradley international airport","windsor locks","ct"
"dca","ronald reagan washington national airport","washington","dc"
"iad","washington dulles international airport","washington","dc"
"fll","fort lauderdale hollywood international airport","fort lauderdale","fl"
"rsw","southwest florida international airport","fort myers","fl"
"jax","jacksonville international airport","jacksonville","fl"
"mia","miami international airport","miami","fl"
"mco","orlando international airport","orlando","fl"
"pns","pensacola regional airport","pensacola","fl"
"pie","st. petersburg-clearwater international airport","saint petersburg","fl"
"sfb","orlando sanford international airport","sanford","fl"
"srq","sarasota-bradenton international airport","sarasota","fl"
"tlh","tallahassee regional airport","tallahassee","fl"
"tpa","tampa international airport","tampa","fl"
"vps","fort walton beach airport","valparaiso","fl"
"pbi","palm beach international airport","west palm beach","fl"
"atl","atlanta international airport","atlanta","ga"
"sav","savannah/hilton head international airport","savannah","ga"
"gum","guam international airport","agana","gu"
"ito","hilo international airport","hilo","hi"
"hnl","honolulu international airport","honolulu","hi"
"ogg","kahului airport","kahului","hi"
"koa","kona international airport","keahole","hi"
"lih","lihue airport","lihue","hi"
"cid","cedar rapids eastern iowa airport","cedar rapids","ia"
"dsm","des moines international airport","des moines","ia"
"boi","boise airport","boise","id"
"mdw","chicago midway airport","chicago","il"
"ord","chicago o&#8217;hare international airport","chicago","il"
"mli","quad city international airport","moline","il"
"ind","indianapolis international airport","indianapolis","in"
"sbn","south bend regional airport","south bend","in"
"ict","wichita mid-continent airport","wichita","ks"
"lex","blue grass airport","lexington","ky"
"sdf","louisville international airport","louisville","ky"
"btr","baton rouge international airport","baton rouge","la"
"msy","new orleans international airport","new orleans","la"
"bos","boston logan international airport","boston","ma"
"bwi","baltimore/washington international airport","bwi airport","md"
"pwm","portland international jetport","portland","me"
"dtw","detroit metro airport","detroit","mi"
"fnt","bishop international airport","flint","mi"
"grr","gerald r. ford international airport","grand rapids","mi"
"msp","minneapolis/st. paul international airport","minneapolis","mn"
"mci","kansas city international airport","kansas city","mo"
"stl","lambert-st. louis international airport","saint louis","mo"
"gpt","gulfport-biloxi international airport","gulfport","ms"
"jan","jackson-evers international airport","jackson","ms"
"bil","billings logan international airport","billings","mt"
"clt","charlotte/douglas international airport","charlotte","nc"
"gso","piedmont triad international airport","greensboro","nc"
"rdu","raleigh-durham international airport","rdu airport","nc"
"oma","eppley airfield","omaha","ne"
"mht","manchester airport","manchester","nh"
"acy","atlantic city international airport","egg harbor twp","nj"
"ewr","newark liberty international airport","newark","nj"
"abq","albuquerque international sunport","albuquerque","nm"
"las","mccarran international airport","las vegas","nv"
"rno","reno-tahoe international airport","reno","nv"
"alb","albany international airport","albany","ny"
"buf","buffalo niagara international airport","buffalo","ny"
"isp","macarthur airport","islip","ny"
"jfk","john f. kennedy international airport","new york","ny"
"lga","la guardia airport","new york","ny"
"roc","greater rochester international airport","rochester","ny"
"syr","syracuse hancock international airport","syracuse","ny"
"hpn","westchester county airport","white plains","ny"
"cvg","cincinnati/northern kentucky international airport","cincinnati","oh"
"cle","cleveland hopkins international airport","cleveland","oh"
"cmh","port columbus international airport","columbus","oh"
"day","dayton international airport","dayton","oh"
"cak","akron-canton airport","north canton","oh"
"okc","will rogers world airport","oklahoma city","ok"
"tul","tulsa international airport","tulsa","ok"
"pdx","portland international airport","portland","or"
"abe","lehigh valley international airport","allentown","pa"
"mdt","harrisburg international airport","harrisburg","pa"
"phl","philadelphia international airport","philadelphia","pa"
"pit","pittsburgh international airport","pittsburgh","pa"
"sju","luis munoz marin international airport","san juan","pr"
"pvd","t.f. green airport","providence","ri"
"chs","charleston international airport","charleston","sc"
"cae","columbia metropolitan airport","columbia","sc"
"gsp","greenville/spartanburg airport","greenville","sc"
"myr","myrtle beach airport","myrtle beach","sc"
"tys","mcghee tyson airport","knoxville","tn"
"mem","memphis airport","memphis","tn"
"bna","nashville international airport","nashville","tn"
"ama","amarillo international airport","amarillo","tx"
"aus","austin-bergstrom international airport","austin","tx"
"crp","corpus christi international airport","corpus christi","tx"
"dal","dallas love field","dallas","tx"
"dfw","dallas/fort worth international airport","dallas","tx"
"elp","el paso international airport","el paso","tx"
"hrl","valley international airport","harlingen","tx"
"iah","bush intercontinental airport","houston","tx"
"hou","hobby airport","houston","tx"
"lbb","lubbock international airport","lubbock","tx"
"maf","midland international airport","midland","tx"
"sat","san antonio international airport","san antonio","tx"
"slc","salt lake city international airport","salt lake city","ut"
"phf","newport news/williamsburg international airport","newport news","va"
"orf","norfolk international airport","norfolk","va"
"ric","richmond international airport","richmond","va"
"stt","cyril e king airport","charlotte amalie","vi"
"btv","burlington international airport","south burlington","vt"
"sea","seattle/tacoma international airport","seattle","wa"
"geg","spokane international airport","spokane","wa"
"grb","austin straubel international airport","green bay","wi"
"msn","dane county regional airport","madison","wi"
"mke","general mitchell international airport","milwaukee","wi"
