"grad","gipfel","h&ouml;he","kanton","entfernung"
"270.1","gross d&uuml;ssipiz git","3256","gr/ur","60.92 km"
"270.9","piz urlaun","3359","gl/gr","53.26 km"
"271.3","piz frisal","3292","gr","50.97 km"
"271.3","stoc grond","3422","gl/gr","54.34 km"
"271.6","piz dado","3432","gl/gr","54.34 km"
"271.9","bifertenstockdurschin","3419","gl/gr","51.06 km"
"272.6","glarner t&ouml;di","3586","gl","54.37 km"
"272.6","piz russeint&ouml;di","3614","gl/gr","54.35 km"
"273.5","sandgipfel","3390","gl","53.76 km"
"273.8","gross sch&auml;rhorn","3295","ur","61.01 km"
"273.8","hinter schiben","3084","gl","50.08 km"
"274.0","kistenst&ouml;cklimuot da rubi","2746","gl/gr","46.42 km"
"274.4","vorder schiben","2987","gl","49.79 km"
"274.9","claridenhorn","3120","gl/ur","57.54 km"
"275.0","chammliberg","3214","ur","59.91 km"
"275.0","piz d'artgas","2786","gr","44.89 km"
"275.5","hinter selbsanftselbsanft","3029","gl","49.76 km"
"275.7","clariden","3268","gl/ur","57.98 km"
"276.6","crap surtscheins","2568","gr","42.23 km"
"276.7","bocktschingel","3079","gl/ur","56.39 km"
"276.7","fil da rueun","2350","gr","37.38 km"
"277.6","crap ner","2883","gr","43.85 km"
"277.9","muttenbergen","2956","gl/gr","45.49 km"
"278.3","piz gavirolas","3025","gr","44.51 km"
"278.9","crest da tiarms","2412","gr","34.25 km"
"278.9","muttenstock","3089","gl/gr","44.94 km"
"279.4","tgom'aulta","2085","gr","11.71 km"
"280.0","piz fluaz","2814","gr","42.39 km"
"280.2","crap tgietschenrotstock","2624","gl/gr","40.04 km"
"280.5","crap sogn gion","2264","gr","32.37 km"
"280.9","ruchi","3107","gl/gr","45.30 km"
"281.0","crap ner","2614","gr","38.43 km"
"281.4","chli ruchi","3036","gl/gr","44.89 km"
"281.6","crap masegn","2516","gr","35.58 km"
"282.7","hausstock","3158","gr","44.02 km"
"285.0","furggab&uuml;el","2174","gr","10.34 km"
"285.2","b&uuml;ndner vorab","3028","gl/gr","37.30 km"
"285.3","vorab pign","2897","gr","36.63 km"
"286.0","glarner vorab","3018","gl/gr","37.78 km"
"287.7","crap ner","2781","gr","33.32 km"
"287.8","gletscherhorn","2805","gl","36.84 km"
"288.5","laaxer st&ouml;cklipiz grisch","2898","gl/gr","34.18 km"
"289.6","stelli","2417","gr","3.53 km"
"290.5","ofen","2873","gl/gr","33.91 km"
"291.5","il fil","2694","gr","28.64 km"
"292.0","tschingelhoren","2849","gl/gr","33.59 km"
"292.1","mutta sura","2198","gr","21.21 km"
"293.0","atlas","2927","gr","32.35 km"
"294.7","piz segnas","3099","gl/gr","32.76 km"
"294.9","tschep sut","2666","gr","23.14 km"
"295.4","tschep sura","2838","gr","24.51 km"
"295.5","piz dolftrinserhorn","3028","gr/sg","30.69 km"
"295.5","tschingla","2449","gr","2.20 km"
"296.1","ringelspitzh&uuml;tte(sac h&uuml;tte)","2000","gr","21.05 km"
"296.6","baldachopf","2106","gr","21.21 km"
"297.2","crap mats","2947","gr","23.29 km"
"297.9","morchopf","2943","gr","23.75 km"
"298.8","piz da sterls","3114","gr/sg","27.29 km"
"298.8","spitzig stein","2289","gr","21.95 km"
"298.8","tristelhorn","3114","gr/sg","27.29 km"
"299.6","hohegg","2529","gr","23.46 km"
"300.4","piz barghisringelspitz","3247","gr/sg","25.33 km"
"301.1","schafgrat","2763","gr","22.68 km"
"301.6","g&uuml;rgaletsch","2441","gr","3.89 km"
"301.8","pan&auml;rah&ouml;rner","3106","gr/sg","24.16 km"
"302.4","chrummhorn","2706","gr","22.75 km"
"303.4","taminser calanda","2390","gr","17.42 km"
"305.2","orglen","2720","sg","22.78 km"
"306.7","heub&uuml;tzler","2612","sg","30.72 km"
"307.0","plattenspitz","2579","sg","30.12 km"
"307.1","ofen","2409","sg","22.32 km"
"308.5","hangsackgrat","2634","sg","30.18 km"
"308.6","g&uuml;llenchopf","2556","gr/sg","17.05 km"
"310.1","felsberger calanda","2697","gr/sg","17.27 km"
"311.4","rossboden","2040","gr","15.67 km"
"311.6","egghorn","2728","sg","26.70 km"
"312.7","sazmartinshorn","2827","sg","26.49 km"
