"carlow","st dympna","NULL"
"cavan","cavan general hospital","NULL"
"clare","mid-western regional hospital","ennis"
"cork","bantry general hospital","bantry"
"NULL","bon secours hospital","cork"
"NULL","cork medical centre","cork"
"NULL","cork university hospital","cork"
"NULL","erinville hospital","cork"
"NULL","mallow general hospital","mallow"
"NULL","marymount hospital","cork"
"NULL","mercy hospital","cork"
"NULL","shanakiel hospital","cork"
"NULL","south infirmary victoria university hospital","cork"
"NULL","bandon community hospital","bandon"
"NULL","st. anthony's hospital (cork)","dunmanway"
"NULL","st. finbarr's hospital","cork"
"NULL","st. mary's orthopaedic hospital","cork"
"NULL","st. patrick's hospital","fermoy"
"NULL","tabor lodge","tabor"
"county donegal","donegal hospital","donegal"
"NULL","killybegs community hospital","killybegs"
"NULL","letterkenny general hospital","letterkenny"
"NULL","st. conal's psychiatric hospital","letterkenny"
"county dublin","beaumont hospital","dublin"
"NULL","blackrock clinic","blackrock"
"NULL","bloomfield care centre","rathfarnham"
"NULL","bon secours hospital","dublin"
"NULL","cappagh national orthopaedic hospital","finglas"
"NULL","central mental hospital","dundrum"
"NULL","cherry orchard hospital","ballyfermot"
"NULL","children's university hospital","temple street"
"NULL","clonskeagh hospital","clonskeagh"
"NULL","coombe women's hospital","dolphin's barn"
"NULL","hermitage medical clinic","lucan"
"NULL","highfield hospital","whitehall"
"NULL","incorporated orthopaedic hospital of ireland","clontarf"
"NULL","connolly hospital","blanchardstown"
"NULL","dublin dental hospital","lincoln place"
"NULL","leopardstown park hospital","foxrock"
"NULL","mater misericordiae university hospital","dublin"
"NULL","NULL","NULL"
"NULL","mater private hospital","eccles street"
"NULL","mount carmel hospital","churchtown"
"NULL","national maternity hospital","holles street"
"NULL","national rehabilitation hospital","dun laoghaire"
"NULL","our lady's hospital for sick children","crumlin"
"NULL","peamount hospital","newcastle"
"NULL","the rotunda maternity hospital","NULL"
"NULL","royal city of dublin hospital","baggot street"
"NULL","the royal hospital","donnybroo"
"NULL","royal victoria eye and ear hospital","adelaide road"
"NULL","st. brendan's hospital","dublin"
"NULL","st. bricin's military hospital","arbour hill"
"NULL","st. columcille's hospital","loughlinstown"
"NULL","st. edmundsbury hospital","lucan"
"NULL","st. ita's psychiatric hospital","portrane"
"NULL","st. james's hospital","rialto"
