"country","currency","alphabetic code&nbsp;&nbsp;&nbsp;&nbsp;","numeric code&nbsp;&nbsp;&nbsp;&nbsp;","symbol&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","subdivision"
"cambodia","riel","khr","116","cr","100 sen"
"cameroon","cfa franc beac","xaf","950","cfaf","100 centimes"
"canada","canadian dollar","cad","124","can$","100 cents"
"cape verde","cape verde escudo","cve","132","c.v.esc.","100 centavos"
"cayman islands","cayman islands dollar","kyd","136","ci$","100 cents"
"central african republic","cfa franc beac","xaf","950","cfaf","100 centimes"
"chad","cfa franc beac","xaf","950","cfaf","100 centimes"
"chile","chilean peso","clp","152","ch$","100 centavos"
"china","yuan renminbi","cny","156","y","10 jiao = 100 fen"
"christmas island","australian dollar","aud","36","a$","100 cents"
"cocos (keeling) islands","australian dollar","aud","36","a$","100 cents"
"colombia","colombian peso","cop","170","col$","100 centavos"
"comoros","comoro franc","kmf","174","cf","&nbsp;"
"congo","cfa franc beac","xaf","950","cfaf","100 centimes"
"congo the democratic republic of","franc congolais","cdf","976","&nbsp;","100 centimes"
"cook islands","new zealand dollar","nzd","554","nz$","100 cents"
"costa rica","costa rican colon","crc","188","slashed c","100 centimos"
"cote d'ivoire","cfa franc bceao","xof","952","cfaf","100 centimes"
"croatia","kuna","hrk","191","hrk","100 lipas"
"cuba","cuban peso","cup","192","cu$","100 centavos"
"cyprus","cyprus pound","cyp","196","&pound;c","100 cents"
"cyprus - trnc","turkish lira","trl","792","tl","100 kurus"
"czech republic","czech koruna","czk","203","kc (with hacek on c)","100 haleru"
"denmark","danish krone","dkk","208","dkr","100 &oslash;re"
"djibouti","djibouti franc","djf","262","df","100 centimes"
"dominica","east caribbean dollar","xcd","951","ec$","100 cents"
"dominican republic","dominican peso","dop","214","rd$","100 centavos"
"east timor","us dollar","usd","840","$","100 cents"
"ecuador","us dollar","usd","840","$","100 cents"
"egypt","egyptian pound","egp","818","&pound;e","100 piasters or 1000 milliemes"
"el salvador","el salvador colon","svc","222","&cent;","100 centavos"
"equatorial guinea","cfa franc beac","xaf","950","cfaf","100 centimos"
"estonia","kroon","eek","233","nfa","100 cents"
"eritrea","nakfa","ern","232","kr","100 senti"
"ethiopia","ethiopian birr","etb","230","br","100 cents"
"european union","euro","eur","978","&euro;","100 euro-cents"
"faeroe islands","danish krone","dkk","208","dkr","100 &oslash;re"
"falkland islands (malvinas)","pound","fkp","238","&pound;f","100 pence"
"fiji","fiji dollar","fjd","242","f$","100 cents"
"finland","euro","eur","978","&euro;","100 euro-cents"
"france","euro","eur","978","&euro;","100 euro-cents"
"french guiana","euro","eur","978","&euro;","100 euro-cents"
"french polynesia","cfp franc","xpf","953","cfpf","100 centimes"
"french southern territories","euro","eur","978","&euro;","100 euro-cents"
