"empedocles","c.b.c. - c.430 b.c.","came up with four kinds of  matter: air earth fire water"
"johann gutenberg","c.1397-c.1468","printing press"
"georg bauer (agricola)","1494-1555","mining and metallurgy book"
"andreas vesalius","1514-1603","anatomist"
"william gilbert","1540/4-1603","electricity and magnetism"
"henri poincare","1854-1912","&nbsp;"
"arrhenius","&nbsp;","&nbsp;"
"marie and pierre curie","&nbsp;","shared 1903 nobel prize"
"laplace","&nbsp;","&nbsp;"
"legendre","&nbsp;","&nbsp;"
"edmund halley","1656-1742","at 22 years old one of the  most renowned astronomers"
"jean le rond d�alembert","11/1717-1783","french mathematician and  philosopher. figured out the precession of equinoxes"
"marcello malpighi","1628-1694","used the microscope to  view capillaries and glands"
"daniel bernoulli","1700-1782","bernoulli�s principle"
"henry cavendish","1731-1810","measured newton�s  gravitational constant"
"charles augustin de  coulomb","1736-1806","elasticity"
"joseph-louis lagrange","1736-1813","prof. of geometry at an  artillery academy when he was 18. analytic al mechanics"
"james watt","1736-1819","steam engine"
"claude louis berthollet","1748-1822","&nbsp;"
"antoine francois de  fourcroy","1755-1809","&nbsp;"
"james smithson","1765-1829","english chemist and  mineralogist. founded the smithsonian institution"
"joseph fourier","1768-1830","heat diffusion"
"jean-baptiste biot","1774-1862","light polarization"
"amadeo avogadro","1776-1856","avogadro�s number"
"david brewster","1781-1868","brewster�s law of light"
"augustin-jean fresnel","1788-1827","transverse nature of light"
"georg ohm","1789-1854","ohm�s law v = ir"
"felix savart","1791-1841","electromagnetism"
"gabriel lame","1795-1870","mathematical lame�s  functions"
"sadi carnot","1796-1832","thermodynamics"
"joseph henry","1797-1878","electromagnetics"
"christian doppler","1803-1853","sound waves"
"wilhelm e. weber","1804-1891","sensitive magnetometers"
"william hamilton","1805-1865","hamiltonian classical  mechanics"
"johann von lamont","1805-1879","astronomer and magnetician"
"karl weierstrass","1815-1897","&nbsp;"
"armand-hippolyte-louis  fizeau","1819-1896","first measured the speed  of list"
"jean-bernard-leon foucault","1819-1868","accurately measured the  speed of light"
"hermann von helmholtz","1821-1894","first law of  thermodynamics: energy is conserved"
"rudolf clausius","1822-1888","second law of thermo.  entropy never decreases"
"joseph leidy","1823-1891","anatomy"
"gustav lirchhoff","1824-1887","three laws of spectral  analysis"
"johann balmer","1825-1898","hydrogen spectrum"
"bayer","&nbsp;","chemist"
"enrico fermi","1901-1954","atomic physics"
"navier","&nbsp;","fluid dynamics"
"lamarck","&nbsp;","lamarckian example:  giraffes constantly stretching their necks caused offspring to have longer  necks"
"sir edward frankland","1825-1899","chemist valence theory"
"percy faraday frankland","1858-1946","son of edward"
