"world rank","city","country","city           population","metro           population","mayor"
"64","kabul","afghanistan","3586000","4000000","mohammad yunus noandesh"
"211","algiers","algeria","1520000","3354000","tayeb zitouni"
"547","oran","algeria","683000","772000","saddek benkada"
"41","luanda","angola","4799000","5500000","jos&eacute; maria ferraz dos santos"
"6","buenos aires","argentina","11655000","12924000","mauricio macri"
"288","cordoba","argentina","1310000","1528000","daniel giacomino"
"307","la matanza","argentina","1255000","","n/k"
"343","rosario","argentina","1160000","1358000","miguel lifschitz"
"535","la plata","argentina","710000","833000","pablo bruera"
"n/r","tucuman","argentina","528000","830000","domingo amaya"
"n/r","mendoza","argentina","113000","849000","v&iacute;ctor fayad"
"365","yerevan","armenia","1108000","1246000","gagik beglaryan"
"48","sydney","australia","4400000","","clover moore"
"61","melbourne","australia","3635000","33635000","robert doyle"
"193","perth","australia","1603000","","lisa scaffidi"
"204","brisbane","australia","1544000","1544000","campbell newman"
"296","adelaide","australia","1290000","","stephen yarwood"
"180","vienna","austria","1681000","2269000","michael h&auml;upl"
"138","baku","azerbaijan","2040000","2072000","hajibala abutalybov"
"19","dhaka","bangladesh","7940000","12797000","sadeque hossain khosa"
"100","chittagong","bangladesh","2580000","3858000","mohammed manjur alam"
"463","khulna","bangladesh","856000","1388000","talukder abdul khaleque"
"155","minsk","belarus","1831000","","nikolai ladutko"
"427","brussels","belgium","958000","1740000","freddy thielemans"
"n/r","antwerp","belgium","444000","948000","patrick janssens"
"n/r","gent","belgium","233000","","dani&euml;l termont"
"n/r","bruges","belgium","117000","","patrick moenaert"
"196","santa cruz","bolivia","1595000","1863000","percy fernandez"
"212","la paz","bolivia","1517000","1551000","luis antonio revilla herrero"
"568","cochabamba","bolivia","608000","798000","n/k"
"9","sao paulo","brazil","11038000","19890000","gilberto kassab"
"31","rio de janeiro","brazil","6093000","14387000","eduardo paes"
"79","salvador da bahia","brazil","2998000","3173000","jo&atilde;o henrique carneiro"
"108","fortaleza","brazil","2506000","3415000","luizianne lins"
"114","belo horizonte","brazil","2453000","5397000","marcio lacerda"
"134","brasilia","brazil","2089000","2090000","jos&eacute; roberto arruda"
"153","curitiba","brazil","1851000","3261000","carlos richa"
"173","manaus","brazil","1739000","1924000","amazonino mendes"
"200","recife","brazil","1561000","3769000","jo&atilde;o da costa bezerra filho"
"251","belem","brazil","1409000","1913000","duciomar costa"
"273","porto alegre","brazil","1355000","3646000","jos&eacute; fortunati"
"300","guarulhos","brazil","1283000","1500000","sebasti&atilde;o moreira"
"301","goiania","brazil","1282000","2064000","&iacute;ris rezende machado"
"386","campinas","brazil","1059000","3200000","h&eacute;lio de oliveira santos"
"417","sao luis","brazil","987000","1228000","jo&atilde;o castelo"
"419","sao goncalo","brazil","973000","1.221000","n/k"
"437","maceio","brazil","922000","1100000","jos&eacute; c&iacute;cero soares de almeida"
"453","teresina","brazil","893000","949000","silvio mendes"
"462","duque de caxias","brazil","864000","1000000","jos&eacute; camilo zito dos santos filho"
"469","nova iguacu","brazil","846000","959000","lindberg farias"
"503","natal","brazil","790000","1100000","n/k"
"507","sao bernardo do campo","brazil","783000","","luiz marinho"
"538","joao pessoa","brazil","702000","984000","ricardo coutinho"
"567","sao jose dos campos","brazil","611000","794000","eduardo cury"
"591","ribeirao preto","brazil","547000","789000","d&aacute;rcy vera"
"n/r","santos","brazil","418000","1477000","jo&atilde;o paulo tavares papa"
"n/r","vitoria","brazil","313000","1628000","jo&atilde;o carlos coser"
"n/r","colombo","brazil","247000","2160000","jos&eacute; antonio camargo"
"252","sofia","bulgaria","1403000","1455000","yordanka fandukova"
