"common name","genus","species","iucn","&nbsp;"
"mountain quail","oreortyx","pictus","lc","&nbsp;"
"california quail","callipepla","californica","lc","&nbsp;"
"gambel's quail","callipepla","gambelii","lc","&nbsp;"
"northern bobwhite","colinus","virginianus","nt","&nbsp;"
"wild turkey","meleagris","gallopavo","lc","&nbsp;"
"ruffed grouse","bonasa","umbellus","lc","&nbsp;"
"common pheasant","phasianus","colchicus","lc","&nbsp;"
"mallard","anas","platyrhynchos","lc","&nbsp;"
"ruddy duck","oxyura","jamaicensis","lc","&nbsp;"
"wedge-tailed shearwater","puffinus","pacificus","lc","hawaii"
"townsend's shearwater","puffinus","auricularis","cr","hawaii"
"band-rumped storm petrel","oceanodrom","castro","lc","hawaii"
"pied-billed grebe","podilymbus","podiceps","lc","&nbsp;"
"green heron","butorides","virescens","lc","&nbsp;"
"cattle egret","bubulcus","ibis","lc","&nbsp;"
"turkey vulture","cathartes","aura","lc","&nbsp;"
"american kestrel","falco","sparverius","lc","&nbsp;"
"merlin","falco","columbarius","lc","&nbsp;"
"peregrine falcon","falco","peregrinus","lc","&nbsp;"
"sharp-shinned hawk","accipiter","striatus","lc","&nbsp;"
"cooper's hawk","accipiter","cooperii","lc","&nbsp;"
"northern goshawk","accipiter","gentilis","lc","&nbsp;"
"red-shouldered hawk","buteo","lineatus","lc","&nbsp;"
"broad-winged hawk","buteo","platypterus","lc","&nbsp;"
"red-tailed hawk","buteo","jamaicensis","lc","&nbsp;"
"roughleg","buteo","lagopus","lc","&nbsp;"
"black rail","laterallus","jamaicensis","nt","&nbsp;"
"virginia rail","rallus","limicola","lc","&nbsp;"
"sora","porzana","carolina","lc","&nbsp;"
"american coot","fulica","americana","lc","&nbsp;"
"killdeer","charadrius","vociferus","lc","&nbsp;"
"american woodcock","scolopax","minor","lc","&nbsp;"
"wilson's snipe","gallinago","delicata","lc","&nbsp;"
"ring-billed gull","larus","delawarensis","lc","&nbsp;"
"laughing gull","larus","atricilla","lc","&nbsp;"
"cassin's auklet","ptychoramphus","aleuticus","lc","&nbsp;"
"common pigeon","columba","livia","lc","&nbsp;"
"plain pigeon","patagioenas","inornata","nt","p. r."
"spotted dove","streptopelia","chinensis","lc","hawaii"
"barred dove","geopelia","maugeus","lc","hawaii"
"mourning dove","zenaida","macroura","lc","&nbsp;"
"white-winged dove","zenaida&nbsp;","asiatica","lc","&nbsp;"
"inca dove","scardafella","inca","lc","&nbsp;"
"common ground dove","columbina","passerina","lc","&nbsp;"
"ruddy quail-dove","geotrygon","montana","lc","&nbsp;"
"yellow-billed cuckoo","coccyzus","americanus","lc","&nbsp;"
"black-billed cuckoo","coccyzus","erythrophthalmus","lc","&nbsp;"
"barn owl","tyto","alba","lc","&nbsp;"
"eastern screech owl","megascops","asio","lc","&nbsp;"
"western screech owl","megascops","kennicottii","lc","&nbsp;"
"great horned owl","bubo","virginianus","lc","&nbsp;"
"barred owl","strix","varia","lc","&nbsp;"
"northern pygmy owl","glaucidium","califoricum","lc","&nbsp;"
"northern saw-whet owl","aegolius","acadicus","lc","&nbsp;"
"long-eared owl","asio","otus","lc","&nbsp;"
"short-eared owl","asio","flammeus","lc","&nbsp;"
"lesser nighthawk","chordeiles","acutipennis","lc","&nbsp;"
"common nighthawk","chordeiles","minor","lc","&nbsp;"
"common poorwill","phalaenoptilus","nuttallii","lc","&nbsp;"
"chuck-will's-widow","caprimulgus","carolinensis","lc","&nbsp;"
"whip-poor-will","caprimulgus","vociferus","lc","&nbsp;"
"chimney swift","chaetura","pelagica","lc","&nbsp;"
"puerto rican emerald","chlorostilbon","maugaeus","lc","p. r."
"buff-bellied hummingbird","amazilia","yucatanensis","lc","&nbsp;"
"ruby-throated hummingbird","archilochus","colubris","lc","&nbsp;"
"black-chinned hummingbird","archilochus","alexandri","lc","&nbsp;"
"anna's hummingbird","calypte","anna","lc","&nbsp;"
"costa's hummingbird","calypte","costae","lc","&nbsp;"
"broad-tailed hummingbird","selasphorus","platycercus","lc","&nbsp;"
"rufous hummingbird","selasphorus","rufus","lc","&nbsp;"
"allen's hummingbird","selasphorus","sasin","lc","&nbsp;"
"calliope hummingbird","stellula","calliope","lc","&nbsp;"
"belted kingfisher","megaceryle","alcyon","lc","&nbsp;"
"red-headed woodpecker","melanerpes","erythrocephalus","nt","&nbsp;"
"acorn woodpecker","melanerpes","formicivorus","lc","&nbsp;"
"gila woodpecker","melanerpes","uropygialis","lc","&nbsp;"
"red-bellied woodpecker","melanerpes","carolinus","lc","&nbsp;"
"williamson's sapsucker","sphyrapicus","thyroideus","lc","&nbsp;"
"yellow-bellied sapsucker","sphyrapicus","varius","lc","&nbsp;"
"red-naped sapsucker","sphyrapicus","nuchalis","lc","&nbsp;"
"ladder-backed woodpecker","picoides","scalaris","lc","&nbsp;"
"downy woodpecker","picoides","pubescens","lc","&nbsp;"
"hairy woodpecker","picoides","villosus","lc","&nbsp;"
"black-backed woodpecker","picoides","arcticus","lc","&nbsp;"
"northern flicker","colaptes","auratus","lc","&nbsp;"
"pileated woodpecker","dryocopus","pileatus","lc","&nbsp;"
"eastern phoebe","sayornis","phoebe","lc","&nbsp;"
"olive-sided flycatcher","contopus","cooperii","nt","&nbsp;"
"western wood pewee","contopus","sordidulus","lc","&nbsp;"
"eastern wood pewee","contopus","virens","lc","&nbsp;"
"yellow-bellied flycatcher","empidonax","flaviventris","lc","&nbsp;"
"acadian flycatcher","empidonax","virescens","lc","&nbsp;"
"willow flycatcher","empidonax","traillii","lc","&nbsp;"
"least flycatcher","empidonax","minimus","lc","&nbsp;"
"hammond's flycatcher","empidonax","hammondii","lc","&nbsp;"
"great kiskadee","pitangus","sulphuratus","lc","&nbsp;"
"couch's kingbird","tyrannus","couchii","lc","&nbsp;"
"western kingbird","tyrannus","verticalis","lc","&nbsp;"
"scissor-tailed flycatcher","tyrannus","forficatus","lc","&nbsp;"
"eastern kingbird","tyrannus","tyrannus","lc","&nbsp;"
"great crested flycatcher","myiarchus","crinitus","lc","&nbsp;"
"loggerhead shrike","lanius","ludovicianus","lc","&nbsp;"
"great grey shrike","lanius","excubitor","lc","&nbsp;"
"white-eyed vireo","vireo","griseus","lc","&nbsp;"
"yellow-throated vireo","vireo","flavifrons","lc","&nbsp;"
"blue-headed vireo","vireo","solitarius","lc","&nbsp;"
"warbling vireo","vireo","gilvus","lc","&nbsp;"
"philadelphia vireo","vireo","philadelphicus","lc","&nbsp;"
"red-eyed vireo","vireo","olivaceus","lc","&nbsp;"
"blue jay","cyanocitta","cristata","lc","&nbsp;"
"steller's jay","cyanocitta","stelleri","lc","&nbsp;"
"western scrub jay","aphelocoma","californica","lc","&nbsp;"
"american crow","corvus","brachyrhynchos","lc","&nbsp;"
"bohemian waxing","bombycilla","garrulus","lc","&nbsp;"
"cedar waxwing","bombycilla","cedrorum","lc","&nbsp;"
"carolina chickadee","poecile","carolinensis","lc","&nbsp;"
"black-capped chickadee","poecile","atricapillus","lc","&nbsp;"
"mountain chickadee","poecile","gambeli","lc","&nbsp;"
"boreal chickadee","poecile","hudsonica","lc","&nbsp;"
"chestnut-backed chickadee","poecile","rufescens","lc","&nbsp;"
"oak titmouse","baeolophus","inornatus","lc","&nbsp;"
"tufted titmouse","baeolophus","bicolor","lc","&nbsp;"
"verdin","auriparus","flaviceps","lc","&nbsp;"
"sand martin","riparia","riparia","lc","&nbsp;"
"tree swallow","tachycineta","bicolor","lc","&nbsp;"
"violet-green swallow","tachycineta","thalassina","lc","&nbsp;"
"purple martin","progne","subis","lc","&nbsp;"
"northern rough-winged swallow","stelgidopteryx","serripennis","lc","&nbsp;"
"barn swallow","hirundo","rustica","lc","&nbsp;"
"american cliff swallow","petrochelidon","pyrrhonota","lc","&nbsp;"
"cave swallow","petrochelidon","fulva","lc","&nbsp;"
"american bushtit","psaltriparus","minimus","lc","&nbsp;"
"japanese white-eye","zosterops","japonicus","lc","hawaii"
"golden-crowned kinglet","regulus","satrapa","lc","&nbsp;"
"ruby-crowned kinglet","regulus","calendula","lc","&nbsp;"
"sedge wren","cistothorus","platensis","lc","&nbsp;"
"long-billed marsh wren","cistothorus","palustris","lc","&nbsp;"
"bewick's wren","thryomanes","bewickii","lc","&nbsp;"
"carolina wren","thryothorus","ludovicianus","lc","&nbsp;"
"winter wren","troglodytes","troglodytes","lc","&nbsp;"
"house wren","troglodytes","aedon","lc","&nbsp;"
"red-breasted nuthatch","sitta","canadensis","lc","&nbsp;"
"white-breasted nuthatch","sitta","carolinensis","lc","&nbsp;"
"brown creeper","certhia","americana","lc","&nbsp;"
"gray catbird","dumetella","carolinensis","lc","&nbsp;"
"northern mockingbird","mimus","polyglottos","lc","&nbsp;"
"brown thrasher","toxostoma","refum","lc","&nbsp;"
"long-billed thrasher","toxostoma","longirostre","lc","&nbsp;"
"common myna","acridotheres","tristis","lc","&nbsp;"
"common starling","sturnus","vulgaris","lc","&nbsp;"
"varied thrush","ixoreus","naevius","lc","&nbsp;"
"eastern bluebird","sialia","sialis","lc","&nbsp;"
"western bluebird","sialia","mexicana","lc","&nbsp;"
"mountain bluebird","sialia","currucoides","lc","&nbsp;"
"townsend's solitaire","myadestes","townsendi","lc","&nbsp;"
"orange-billed nightingale-thrush","catharus","aurantiirostris","lc","&nbsp;"
"veery","catharus","fuscescens","lc","&nbsp;"
"grey-cheeked thrush","catharus","minimus","lc","&nbsp;"
"swainson's thrush","catharus","ustulatus","lc","&nbsp;"
