"country","currency","sub currency"
"afghanistan","afghani","100 puls"
"algeria","dinar","100 centimes"
"andorra","euro","100 cents"
"argentina","austral","100 centavos"
"australia","dollar","100 cents"
"austria","euro","100 cents"
"bahamas","dollar","100 cents"
"bahrain","dinar","1000 fils"
"barbados","dollar","100 cents"
"belgium","euro","100 cents"
"belize","dollar","100 cents"
"benin","franc","100 centimes"
"bolivia","boliviano","100 centavos"
"brazil","real","100 centavos"
"brunei","dollar","100 cents or sen"
"bulgaria","lev","100 stotinki"
"cameroon","franc","100 centimes"
"canada","dollar","100 cents"
"cayman islands","dollar","100 cents"
"central african rep.","franc","100 centimes"
"chad","franc","100 centimes"
"chile","peso","100 centavos"
"china","yuan","10 fen"
"columbia","peso","100 centavos"
"congo","franc","100 centimes"
"costa rica","colon","100 centimos"
"cuba","peso","100 centavos"
"cyprus (greek)","euro","100 cents"
"cyprus (turkish)","lira","100 kurus"
"czechoslovakia","koruna","100 halers"
"denmark","krone","100 ore"
"djibouti","franc","100 centimes"
"dominican rep.","peso","100 centavos"
"ecuador","dollar","100 cents"
"egypt","pound","100 piastres"
"el salvador","colon","100 centavos"
"ethiopia","birr","100 cents"
"fiji","dollar","100 cents"
"finland","euro","100 cents"
"country","currency","sub currency"
"france","euro","100 cents"
"gabon","franc","100 centimes"
"gambia","dalasi","100 bututs"
"germany","euro","100 cents"
"ghana","cedi","100 pesewas"
"greece","euro","100 cents"
"guatemala","quetzal","100 centavos"
"guinea","franc","100 centimes"
"guyana","dollar","100 cents"
"haiti","gourde","100 centimes"
"honduras","lempira","100 centavos"
"hong kong","dollar","100 cents"
"hungary","forint","100 filler"
"iceland","krona","100 aurar"
"india","rupee","100 paise"
"indonesia","rupiah","100 sen"
"iraq","dinar","1000 fils"
"ireland","euro","100 cents"
"israel","shekel","100 agorot"
"italy","euro","100 cents"
"ivory coast","franc","100 centimes"
"jamaica","dollar","100 cents"
"japan","yen","100 cen"
"jordan","dinar","1000 fils"
"kenya","shilling","100 cents"
"kuwait","dinar","1000 fils"
"lebanon","pound","100 piastres"
"luxembourg","euro","100 cents"
"country","currency","sub currency"
"malawi","kwacha","100 tambala"
"malaysia","ringgit","100 sen"
"maldives","rufiyaa","100 laari"
"malta","euro","100 cents"
"mauritania","ouguiya","5 khoums"
"mauritius","rupee","100 cents"
"mexico","peso","100 centavos"
"mongolia","tugrik","100 mongo"
"montenegro","euro","100 cents"
"morocco","dirham","100 centimes"
"nepal","rupee","100 paisa"
"netherlands","euro","100 cents"
"new zealand","dollar","100 cents"
"nicaragua","cordoba","100 centavos"
"niger","franc","100 centimes"
"norway","krone","100 ore"
"oman","riyal-omani","1000 baiza"
"pakistan","rupee","100 paisa"
"papua new guinea","kina","100 toea"
"paraguay","guarani","100 centimos"
"peru","inti","100 centimes"
"philippines","peso","100 centavos"
"poland","zloty","100 groszy"
"portugal","euro","100 cents"
"qatar","riyal","100 dirhams"
"romania","leu","100 bani"
"saudi arabia","riyal","100 dirhams"
"senegal","franc","100 centimes"
"serbia","dinar","100 paras"
"seychelles","rupee","100 cents"
"country","currency","sub currency"
"sierra leone","leone","100 cents"
"singapore","dollar","100 cents"
"slovakia","koruna","NULL"
"slovenia","euro","100 cents"
"solomon islands","dollar","100 cents"
"somalia","shilling","100 cents"
"south africa","rand","100 cents"
"south korea","won","100 chon"
"spain","euro","100 cents"
"sri lanka","rupee","100 cents"
"sudan","dinar","NULL"
"suriname","guilder","100 cents"
"sweden","krona","100 ore"
"switzerland","franc","100 centimes"
"syria","pound","100 piastres"
"taiwan","dollar","100 cents"
"tanzania","shilling","100 cents"
"thailand","baht","100 satang"
"togo","franc","100 centimes"
"trinidad &amp; tobago","dollar","100 cents"
"tunisia","dinar","1000 millimes"
"turkey","lira","100 kurus"
"uganda","shilling","100 cents"
"united arab emir.","dirham","1000 fils"
"united kingdom","pound","100 pence"
"united states","dollar","100 cents"
"uruguay","peso","100 centesimos"
"venezuela","bolivar","100 centimos"
"vietnam","dong","100 xu"
"western samoa","tala","100 sene"
"zambia","kwacha","100 ngwee"
"zimbabwe","dollar","100 cents"
