"1t","1time","webcheckin","reisegep&auml;ck"
"jp","adria airways","webcheckin","reisegep&auml;ck"
"a3","aegean airlines","webcheckin","reisegep&auml;ck"
"re","aer arann","webcheckin","reisegep&auml;ck"
"ei","aer lingus","webcheckin","reisegep&auml;ck"
"aj","aero","webcheckin","reisegep&auml;ck"
"p5","aero republica","webcheckin","reisegep&auml;ck"
"su","aeroflot russian airlines","webcheckin","reisegep&auml;ck"
"7e","aeroline gmbh","webcheckin","reisegep&auml;ck"
"ar","aerolineas argentinas","webcheckin","reisegep&auml;ck"
"vw","aeromar","webcheckin","reisegep&auml;ck"
"am","aeromexico","webcheckin","reisegep&auml;ck"
"5l","aerosur","webcheckin","reisegep&auml;ck"
"vv","aerosvit","webcheckin","reisegep&auml;ck"
"8u","afriqiyah airways","webcheckin","reisegep&auml;ck"
"zi","aigle azur","webcheckin","reisegep&auml;ck"
"ah","air algerie","webcheckin","reisegep&auml;ck"
"a6","air alps","webcheckin","reisegep&auml;ck"
"g9","air arabia","webcheckin","reisegep&auml;ck"
"kc","air astana","webcheckin","reisegep&auml;ck"
"uu","air austral","webcheckin","reisegep&auml;ck"
"ja","air bosna","webcheckin","reisegep&auml;ck"
"bp","air botswana","webcheckin","reisegep&auml;ck"
"sb","air caledonie international","webcheckin","reisegep&auml;ck"
"ac","air canada","webcheckin","reisegep&auml;ck"
"qk","air canada jazz","webcheckin","reisegep&auml;ck"
"tx","air caraibes","webcheckin","reisegep&auml;ck"
"cv","air chathams","webcheckin","reisegep&auml;ck"
"ca","air china","webcheckin","reisegep&auml;ck"
"ux","air europa","webcheckin","reisegep&auml;ck"
"af","air france","webcheckin","reisegep&auml;ck"
"gl","air greenland","webcheckin","reisegep&auml;ck"
"ai","air india","webcheckin","reisegep&auml;ck"
"3h","air inuit","webcheckin","reisegep&auml;ck"
"i9","air italy","webcheckin","reisegep&auml;ck"
"vu","air ivoire","webcheckin","reisegep&auml;ck"
"jm","air jamaica","webcheckin","reisegep&auml;ck"
"4a","air kiribati","webcheckin","reisegep&auml;ck"
"nx","air macau","webcheckin","reisegep&auml;ck"
"md","air madagaskar","webcheckin","reisegep&auml;ck"
"km","air malta","webcheckin","reisegep&auml;ck"
"mk","air mauritius","webcheckin","reisegep&auml;ck"
"9u","air moldavia","webcheckin","reisegep&auml;ck"
"sw","air namibia","webcheckin","reisegep&auml;ck"
"nz","air new zealand","webcheckin","reisegep&auml;ck"
"fj","air pacific","webcheckin","reisegep&auml;ck"
"hm","air seychelles","webcheckin","reisegep&auml;ck"
"wo","air southwest","webcheckin","reisegep&auml;ck"
"vt","air tahiti","webcheckin","reisegep&auml;ck"
"tn","air tahiti nui","webcheckin","reisegep&auml;ck"
"ts","air transat","webcheckin","reisegep&auml;ck"
"ak","airasia","webcheckin","reisegep&auml;ck"
"bt","airbaltic","webcheckin","reisegep&auml;ck"
"ab","airberlin","webcheckin","reisegep&auml;ck"
"4c","aires aero","webcheckin","reisegep&auml;ck"
"p2","airkenya","webcheckin","reisegep&auml;ck"
"fl","airtran airways","webcheckin","reisegep&auml;ck"
"as","alaska airlines","webcheckin","reisegep&auml;ck"
"az","alitalia","webcheckin","reisegep&auml;ck"
"nh","all nippon airways","webcheckin","reisegep&auml;ck"
"g4","allegiant air","webcheckin","reisegep&auml;ck"
"aa","american airlines","webcheckin","reisegep&auml;ck"
"kt","anadolujet","webcheckin","reisegep&auml;ck"
"fg","ariana airlines","webcheckin","reisegep&auml;ck"
"u8","armavia","webcheckin","reisegep&auml;ck"
"oz","asiana","webcheckin","reisegep&auml;ck"
"8a","atlas blue","webcheckin","reisegep&auml;ck"
"kk","atlasjet","webcheckin","reisegep&auml;ck"
"gr","aurigny","webcheckin","reisegep&auml;ck"
"os","austrian airlines","webcheckin","reisegep&auml;ck"
"2b","bahrain air","webcheckin","reisegep&auml;ck"
"pg","bangkok airways","webcheckin","reisegep&auml;ck"
"b2","belavia","webcheckin","reisegep&auml;ck"
"nt","binter canarias","webcheckin","reisegep&auml;ck"
"o5","blekingeflyg","webcheckin","reisegep&auml;ck"
"bv","blu-express","webcheckin","reisegep&auml;ck"
"si","blue islands","webcheckin","reisegep&auml;ck"
"kf","blue1","webcheckin","reisegep&auml;ck"
"ww","bmi baby","webcheckin","reisegep&auml;ck"
"bd","bmi british midland","webcheckin","reisegep&auml;ck"
"ba","british airways","webcheckin","reisegep&auml;ck"
"sn","brussels airlines","webcheckin","reisegep&auml;ck"
"c6","can jet","webcheckin","reisegep&auml;ck"
"bw","caribbean airlines","webcheckin","reisegep&auml;ck"
"v3","carpatair","webcheckin","reisegep&auml;ck"
"cx","cathay pacific","webcheckin","reisegep&auml;ck"
"ci","china airlines","webcheckin","reisegep&auml;ck"
"cz","china southern airlines","webcheckin","reisegep&auml;ck"
"qi","cimber sterling","webcheckin","reisegep&auml;ck"
"c9","cirrus airlines","webcheckin","reisegep&auml;ck"
"wx","cityjet","webcheckin","reisegep&auml;ck"
"de","condor","webcheckin","reisegep&auml;ck"
"ua","continental","webcheckin","reisegep&auml;ck"
"co","continental airlines","webcheckin","reisegep&auml;ck"
"cm","copa airlines","webcheckin","reisegep&auml;ck"
"7h","corendon","webcheckin","reisegep&auml;ck"
"ou","croatia airlines","webcheckin","reisegep&auml;ck"
"cu","cubana","webcheckin","reisegep&auml;ck"
"cy","cyprus airways","webcheckin","reisegep&auml;ck"
"ok","czech airlines","webcheckin","reisegep&auml;ck"
"0d","darwin airline","webcheckin","reisegep&auml;ck"
"dx","dat","webcheckin","reisegep&auml;ck"
"dl","delta air lines","webcheckin","reisegep&auml;ck"
"ka","dragonair","webcheckin","reisegep&auml;ck"
"u2","easyjet","webcheckin","reisegep&auml;ck"
"wk","edelweiss air","webcheckin","reisegep&auml;ck"
"ms","egyptair","webcheckin","reisegep&auml;ck"
"ly","el al","webcheckin","reisegep&auml;ck"
"ek","emirates","webcheckin","reisegep&auml;ck"
"ov","estonian air","webcheckin","reisegep&auml;ck"
"et","ethiopian airlines","webcheckin","reisegep&auml;ck"
"ey","etihad airways","webcheckin","reisegep&auml;ck"
"ew","eurowings","webcheckin","reisegep&auml;ck"
"br","eva air","webcheckin","reisegep&auml;ck"
"ay","finnair","webcheckin","reisegep&auml;ck"
"fc","finncomm","webcheckin","reisegep&auml;ck"
"fy","firefly","webcheckin","reisegep&auml;ck"
"dp","first choice","webcheckin","reisegep&auml;ck"
"be","flybe","webcheckin","reisegep&auml;ck"
"f9","frontier airlines","webcheckin","reisegep&auml;ck"
"ga","garuda indonesia","webcheckin","reisegep&auml;ck"
"4u","germanwings","webcheckin","reisegep&auml;ck"
"g8","go air","webcheckin","reisegep&auml;ck"
"g3","gol","webcheckin","reisegep&auml;ck"
"jz","gotlandsflyg","webcheckin","reisegep&auml;ck"
"gf","gulf air","webcheckin","reisegep&auml;ck"
"hu","hainan airlines","webcheckin","reisegep&auml;ck"
"ha","hawaiian airlines","webcheckin","reisegep&auml;ck"
"2l","helvetic airways","webcheckin","reisegep&auml;ck"
"hx","hong kong airlines","webcheckin","reisegep&auml;ck"
"ib","iberia","webcheckin","reisegep&auml;ck"
"5w","iceland express","webcheckin","reisegep&auml;ck"
"fi","icelandair","webcheckin","reisegep&auml;ck"
"ic","indian airlines","webcheckin","reisegep&auml;ck"
"6e","indigo","webcheckin","reisegep&auml;ck"
"3l","intersky","webcheckin","reisegep&auml;ck"
"ir","iran air","webcheckin","reisegep&auml;ck"
"jl","jal japan airlines","webcheckin","reisegep&auml;ck"
"j9","jazeera airways","webcheckin","reisegep&auml;ck"
"9w","jet airways","webcheckin","reisegep&auml;ck"
"jq","jet star","webcheckin","reisegep&auml;ck"
"ls","jet2.com","webcheckin","reisegep&auml;ck"
"b6","jetblue airways","webcheckin","reisegep&auml;ck"
"s2","jetlite","webcheckin","reisegep&auml;ck"
"kq","kenia airways","webcheckin","reisegep&auml;ck"
"it","kingfisher airlines","webcheckin","reisegep&auml;ck"
"kl","klm royal dutch airlines","webcheckin","reisegep&auml;ck"
"ke","korean air","webcheckin","reisegep&auml;ck"
"2q","kullaflyg","webcheckin","reisegep&auml;ck"
"mn","kulula air","webcheckin","reisegep&auml;ck"
"ku","kuwait airways","webcheckin","reisegep&auml;ck"
"la","lan airlines","webcheckin","reisegep&auml;ck"
"ng","lauda air","webcheckin","reisegep&auml;ck"
"li","liat","webcheckin","reisegep&auml;ck"
"lo","lot polish airlines","webcheckin","reisegep&auml;ck"
"lt","ltu iinternational airways","webcheckin","reisegep&auml;ck"
"lh","lufthansa","webcheckin","reisegep&auml;ck"
"lg","luxair","webcheckin","reisegep&auml;ck"
"mh","malaysia airlines","webcheckin","reisegep&auml;ck"
"ma","malev hungarian airlines","webcheckin","reisegep&auml;ck"
"tf","malmo aviation","webcheckin","reisegep&auml;ck"
"mp","martinair","webcheckin","reisegep&auml;ck"
"ig","meridiana fly","webcheckin","reisegep&auml;ck"
"me","middle east airlines - air liban","webcheckin","reisegep&auml;ck"
"zb","monarch airlines","webcheckin","reisegep&auml;ck"
"ym","montenegro airlines","webcheckin","reisegep&auml;ck"
"xy","nas air","webcheckin","reisegep&auml;ck"
"2n","nextjet","webcheckin","reisegep&auml;ck"
"hg","niki","webcheckin","reisegep&auml;ck"
"dd","nok air","webcheckin","reisegep&auml;ck"
"dy","norwegian air shuttle","webcheckin","reisegep&auml;ck"
"oa","olympic air","webcheckin","reisegep&auml;ck"
"wy","oman air","webcheckin","reisegep&auml;ck"
"8q","onur air","webcheckin","reisegep&auml;ck"
"ol","ostfriesische lufttransport gmbh","webcheckin","reisegep&auml;ck"
"lw","pacific wings","webcheckin","reisegep&auml;ck"
"pk","pakistan international airlines","webcheckin","reisegep&auml;ck"
"i7","paramount airways","webcheckin","reisegep&auml;ck"
"pc","pegasus airlines","webcheckin","reisegep&auml;ck"
"ks","peninsula airways","webcheckin","reisegep&auml;ck"
"pr","philippine airlines","webcheckin","reisegep&auml;ck"
"pu","pluna","webcheckin","reisegep&auml;ck"
"qf","qantas airways","webcheckin","reisegep&auml;ck"
"qr","qatar airways","webcheckin","reisegep&auml;ck"
