"name","date","previous names","capital","government","languages"
"algeria","1962","maghreb","algiers","military dictatorship","arabicfrenchkabyle"
"angola","1975","&nbsp;","luanda","one party state","mbunduportuguesekongo"
"benin","&nbsp;","dahomey","porto-novo","republic","fonfrench"
"botswana","1966","bechuanaland","gaborone","republic","tswanaenglishbushmen"
"burkina faso","1919","upper volta","ouagadougou","&nbsp;","morefrench"
"burundi","&nbsp;","&nbsp;","bujumbura","one party state","rundifrench"
"cameroon","1960","&nbsp;","yaounde","military dictatorship","fangbuluyaundefulanienglishfrench"
"cape verde","&nbsp;","&nbsp;","praia","republic","portuguese"
"central african republic","&nbsp;","&nbsp;","bangui","republic","sangofrenchgbayabanda"
"chad","1920","&nbsp;","n'djamena","one party state","saraarabicfrench"
"comoros","&nbsp;","&nbsp;","moroni","one party state","comoranfrencharabic"
"congo (brazzaville)","&nbsp;","&nbsp;","brazzaville","one party state","lingalakongofrench"
"congo","&nbsp;","zaire","kinshasa","no effective government","kingwanalubakongolingalafrenchmany others"
"djibouti","1977","afars and issas","djibouti","republic","arabicafarsomalifrench"
"egypt","c3000bc","united arab republic","cairo","one party state","arabic"
"equatorial guinea","&nbsp;","&nbsp;","malabo","military dictatorship","fangspanish"
"eritrea","1993","&nbsp;","asmara","one party state","tigrinyatigre"
"ethiopia","c500bc","abassynia","addis ababa","republic","amharictigrinyagallasidamosomalienglishmany others"
"gabon","1839","&nbsp;","libreville","one party state","fangfrenchmany others"
"gambia","&nbsp;","&nbsp;","banjul","military dictatorship","wolofmalinkeenglish"
"ghana","1957","gold coast","accra","republic","twifantieweenglish"
"guinea","&nbsp;","&nbsp;","conakry","one party state","fulanimalinkefrench"
"guinea-bissaau","1446","&nbsp;","bissau","republic","balantefulaniportuguese"
"ivory coast","&nbsp;","&nbsp;","abidjan","one party state","dyulafrenchmany others"
"kenya","1885","east africa","nairobi","republic","swahilienglishkikuyukambaluo"
"lesotho","1818","basutoland","maseru","republic","sothoenglish"
"liberia","&nbsp;","&nbsp;","monrovia","no effective government","kpelleenglish"
"libya","1934","&nbsp;","tripoli","one party state","arabictamashek"
"malagasy republic","1958","madagascar","antananarivo","republic","malagasay"
"malawi","&nbsp;","nyasaland","lilongwe","republic","nyanjaenglishyao"
"mali","1960","soudan","bamako","republic","bambarafulanisoninkemalinkefrenchmany others"
"mauritania","&nbsp;","&nbsp;","nouakchott","military dictatorship","arabicfrench"
"mauritius","&nbsp;","&nbsp;","port louis","republic","frenchenglish"
"mayotte","&nbsp;","&nbsp;","mamoudzou","colony (france)","&nbsp;"
"morocco","1649","maghreb","rabat","monarchy","arabicshluhtamazightriffianfrench"
"mozambique","&nbsp;","&nbsp;","maputo","republic","makuatsongaportuguese"
"namibia","1989","south west africa","windhoek","republic","amboenglishafrikaansgermanmany others"
"niger","1922","&nbsp;","niamey","republic","hausadjermafulanifrench"
"nigeria","&nbsp;","&nbsp;","abuja","republic","hausayorubaibofulanikanuriefikenglishmany others"
"reunion","&nbsp;","&nbsp;","saint-denis","colony (france)","french"
"rwanda","1915","&nbsp;","kigali","one party state","ruandafrenchswahili"
"sao tome & principe","&nbsp;","&nbsp;","sao tome","republic","portuguese"
"senegal","1959","&nbsp;","dakar","republic","woloffrenchfulani"
"seychelles","&nbsp;","&nbsp;","victoria","republic","frenchenglish"
"sierra leone","1787","&nbsp;","freetown","republic","mendetemneenglish"
"somalia","1886","somaliland","mogadishu","no effective government","somali"
"south africa","1910","&nbsp;","pretoria","republic","englishafrikaansxhosazulutswanasothopediswazimany others"
"sudan","1899","&nbsp;","khartoum","no effective government","arabicnubianbejadinka"
"swaziland","1968","&nbsp;","mbabana","monarchy","swazienglish"
"tanzania","1961","tanganyka","dar es salaam","&nbsp;","swahilienglishmany others"
"togo","1884","togoland","lome","one party state","ewefrench"
"tunisia","1881","carthagemaghreb","tunis","&nbsp;","arabicfrench"
"uganda","1961","&nbsp;","kampala","&nbsp;","lugandaenglishmany others"
"zambia","1888","northern rhodesia","lusaka","one party state","bembaenglish"
"zimbabwe","1890","rhodesiasouthern rhodesia","harare","one party state","shonamatebeleenglish"
