"&nbsp;","movie","rel.","director","reviewed"
"&nbsp;","mission impossible 3","2006","abrams j.j.","20061209"
"&nbsp;","super 8","2011","abrams j.j.","20111214"
"&nbsp;","the corporation","2003","achbar mark","20070102"
"&nbsp;","gone baby gone","2007","affleck ben","20071116"
"&nbsp;","lion of the desert","1981","akkad moustapha","20111005"
"&nbsp;","emperor of the north","1973","aldrich robert","20110525"
"&nbsp;","burlesque","2010","antin steve","20120118"
"&nbsp;","harold and maude","1971","ashby hal","20091126"
"&nbsp;","coming home","1978","ashby hal","20081024"
"&nbsp;","akeelah and the bee","2006","atchison doug","20090813"
"&nbsp;","a bridge too far","1977","attenborough richard","20090312"
"&nbsp;","the tillman story","2011","bar-lev amir","20110323"
"&nbsp;","the island","2005","bay michael","20070928"
"&nbsp;","wild hogs","2007","becker walt","20070309"
"&nbsp;","management","2008","belber stephen","20091224"
"&nbsp;","nobody's fool","1994","benton robert","20081002"
"&nbsp;","mao's last dancer","2009","beresford bruce","20111019"
"&nbsp;","friday night lights","2006","berg peter","20080111"
"&nbsp;","improbable collapse","2006","berger michael","20070427"
"&nbsp;","crude","2009","berlinger joe","20100819"
"&nbsp;","the hurt locker","2009","bigelow kathryn","20100616"
"&nbsp;","last picture show","1971","bogdanovich peter","20090924"
"&nbsp;","seven men from now","1956","boetticher budd","20071207"
"&nbsp;","slumdog millionaire","2008","boyle danny","20090129"
"&nbsp;","limitless","2011","burger neil","20120111"
"&nbsp;","the lucky ones","2008","burger neil","20090319"
"&nbsp;","ed wood","1994","burton tim","20090514"
"&nbsp;","the china syndrome","1979","bridges james","20070511"
"&nbsp;","avatar","2009","cameron james","20100121"
"&nbsp;","casino royale","2006","campbell martin","20061203"
"&nbsp;","king of california","2007","cahill mike","20080321"
"&nbsp;","it's a wonderful life","1946","capra frank","20110309"
"&nbsp;","they live","1988","carpenter john","20091105"
"&nbsp;","north country","2005","caro niki","20070128"
"&nbsp;","religulous","2008","charles larry","20100128"
"&nbsp;","a christmas story","1983","clark bob","20071221"
"&nbsp;","the big lebowski","1998","coen joel","20110302"
"&nbsp;","crazy heart","2009","cooper scott","20100528"
"&nbsp;","tucker: the man and his dream","1988","coppola francis ford","20090122"
"&nbsp;","dances with wolves","1990","costner kevin","20090909"
"&nbsp;","remember me","2010","coulter allen","20110126"
