"name","date","previous names","capital","government","languages"
"anguilla","&nbsp;","&nbsp;","the valley","colony (uk)","&nbsp;"
"antigua and barbuda","&nbsp;","&nbsp;","saint john's","&nbsp;","english"
"aruba","&nbsp;","&nbsp;","oranjestad","colony (netherlands)","&nbsp;"
"bahamas","&nbsp;","&nbsp;","nassau","constitutional monarchy","english"
"barbados","&nbsp;","&nbsp;","bridgetown","constitutional monarchy","english"
"belize","1840","british honduras","belmopan","republic","englishspanishyucatec"
"bermuda","&nbsp;","&nbsp;","hamilton","colony (uk)","&nbsp;"
"british virgin islands","&nbsp;","&nbsp;","road town","colony (uk)","&nbsp;"
"canada","&nbsp;","&nbsp;","ottawa","federal monarchy","englishfrenchmany others"
"cayman islands","&nbsp;","&nbsp;","georgetown","colony (uk)","&nbsp;"
"costa rica","1838","&nbsp;","san jose","republic","spanish"
"cuba","1902","&nbsp;","havana","one party state","spanish"
"dominica","&nbsp;","&nbsp;","roseau","constitutional monarchy","&nbsp;"
"dominican republic","&nbsp;","hispaniola","santo domingo","republic","spanish"
"el salvador","1838","&nbsp;","san salvador","republic","spanish"
"grenada","&nbsp;","&nbsp;","saint george's","constitutional monarchy","english"
"guadeloupe","&nbsp;","&nbsp;","basse-terre","colony (france)","&nbsp;"
"guatemala","1524","&nbsp;","guatemala city","republic","spanishquichecakchiqulmamkekchi"
"haiti","&nbsp;","&nbsp;","port-au-prince","military dictatorship","french"
"honduras","1838","&nbsp;","tegucigalpa","republic","spanishlencaenglish"
"jamaica","&nbsp;","&nbsp;","kingston","constitutional monarchy","english"
"martinique","&nbsp;","&nbsp;","port-de-france","colony (france)","&nbsp;"
"mexico","1821","&nbsp;","mexico city","federal republic","spanishnahuatlyucatecmany others"
"montserrat","&nbsp;","&nbsp;","plymouth","colony (uk)","&nbsp;"
"navassa island","&nbsp;","&nbsp;","&nbsp;","colony (usa)","&nbsp;"
"netherlands antilles","&nbsp;","&nbsp;","willemstad","colony (netherlands)","dutchpapiamento"
"nicaragua","1838","&nbsp;","mangua","republic","spanish"
"panama","1903","colombia","panama city","republic","spanishcuna"
"peter island","&nbsp;","&nbsp;","&nbsp;","colony (norway)","&nbsp;"
"puerto rico","&nbsp;","&nbsp;","san juan","dependency (usa)","spanishenglish"
"saint kitts and nevis","&nbsp;","&nbsp;","basseterre","constitutional monarchy","&nbsp;"
"saint lucia","&nbsp;","&nbsp;","castries","constitutional monarchy","&nbsp;"
"saint vincent and the grenadines","&nbsp;","&nbsp;","kingstown","constitutional monarchy","&nbsp;"
"st helena","&nbsp;","&nbsp;","jamestown","colony (uk)","&nbsp;"
"st pierre and miquelon","&nbsp;","&nbsp;","st pierre","colony (france)","&nbsp;"
"trinidad and tobago","&nbsp;","&nbsp;","&nbsp;","constitutional monarchy","english"
"turks and caicos islands","&nbsp;","&nbsp;","cockburn","colony (uk)","&nbsp;"
"united states of america","1776","&nbsp;","washington dc","federal republic","englishspanishfrenchmany others"
"virgin islands","&nbsp;","&nbsp;","charlotte amalie","colony (usa)","&nbsp;"
